Time,Open,High,Low,Close
2018-01-25 13:59,1.24823,1.24842,1.24810,1.24842
2018-01-25 14:00,1.24843,1.24872,1.24839,1.24865
2018-01-25 14:01,1.24864,1.24864,1.24840,1.24848
2018-01-25 14:02,1.24847,1.24861,1.24779,1.24785
2018-01-25 14:03,1.24786,1.24786,1.24411,1.24509
2018-01-25 14:04,1.24509,1.24552,1.24216,1.24311
2018-01-25 14:05,1.24323,1.24333,1.24165,1.24197
2018-01-25 14:06,1.24189,1.24309,1.24170,1.24287
2018-01-25 14:07,1.24288,1.24429,1.24282,1.24428
2018-01-25 14:08,1.24427,1.24427,1.24355,1.24394
2018-01-25 14:09,1.24396,1.24396,1.24204,1.24351
2018-01-25 14:10,1.24351,1.24369,1.24198,1.24287
2018-01-25 14:11,1.24297,1.24339,1.24278,1.24314
2018-01-25 14:12,1.24313,1.24408,1.24303,1.24405
2018-01-25 14:13,1.24403,1.24429,1.24373,1.24412
2018-01-25 14:14,1.24409,1.24478,1.24391,1.24478
2018-01-25 14:15,1.24475,1.24475,1.24406,1.24423
2018-01-25 14:16,1.24422,1.24435,1.24369,1.24380
2018-01-25 14:17,1.24381,1.24389,1.24336,1.24367
2018-01-25 14:18,1.24365,1.24365,1.24249,1.24306
2018-01-25 14:19,1.24306,1.24330,1.24265,1.24295
2018-01-25 14:20,1.24293,1.24320,1.24285,1.24311
2018-01-25 14:21,1.24310,1.24310,1.24224,1.24266
2018-01-25 14:22,1.24265,1.24288,1.24223,1.24223
2018-01-25 14:23,1.24223,1.24236,1.24032,1.24048
2018-01-25 14:24,1.24049,1.24067,1.23848,1.23897
2018-01-25 14:25,1.23897,1.24050,1.23851,1.24050
2018-01-25 14:26,1.24053,1.24095,1.23956,1.23972
2018-01-25 14:27,1.23973,1.24056,1.23951,1.23995
2018-01-25 14:28,1.23996,1.24056,1.23984,1.24046
2018-01-25 14:29,1.24051,1.24125,1.24044,1.24125
2018-01-25 14:30,1.24120,1.24159,1.24070,1.24145
2018-01-25 14:31,1.24141,1.24141,1.24064,1.24067
2018-01-25 14:32,1.24070,1.24125,1.24048,1.24096
2018-01-25 14:33,1.24095,1.24124,1.24046,1.24047
2018-01-25 14:34,1.24035,1.24055,1.24001,1.24042
2018-01-25 14:35,1.24040,1.24082,1.24022,1.24022
2018-01-25 14:36,1.24023,1.24031,1.23828,1.23876
2018-01-25 14:37,1.23855,1.23867,1.23768,1.23794
2018-01-25 14:38,1.23796,1.23846,1.23745,1.23783
2018-01-25 14:39,1.23782,1.23843,1.23745,1.23843
2018-01-25 14:40,1.23840,1.23852,1.23745,1.23764
2018-01-25 14:41,1.23764,1.23852,1.23747,1.23851
2018-01-25 14:42,1.23849,1.23850,1.23772,1.23804
2018-01-25 14:43,1.23803,1.23844,1.23785,1.23821
2018-01-25 14:44,1.23816,1.23827,1.23749,1.23776
2018-01-25 14:45,1.23777,1.23777,1.23692,1.23759
2018-01-25 14:46,1.23758,1.23774,1.23712,1.23749
2018-01-25 14:47,1.23750,1.23750,1.23662,1.23667
2018-01-25 14:48,1.23669,1.23703,1.23647,1.23699
